2020-11-24 10:05:27.912 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext.refresh:559 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.support.BeanDefinitionOverrideException: Invalid bean definition with name 'clientDetailsService' defined in class path resource [spring/cloud/security/oauth/uaa/jwt/config/AuthorizationConfiguration.class]: Cannot register bean definition [Root bean: class [null]; scope=; abstract=false; lazyInit=null; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=authorizationConfiguration; factoryMethodName=clientDetailsService; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [spring/cloud/security/oauth/uaa/jwt/config/AuthorizationConfiguration.class]] for bean 'clientDetailsService': There is already [Root bean: class [org.springframework.aop.scope.ScopedProxyFactoryBean]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in BeanDefinition defined in class path resource [org/springframework/security/oauth2/config/annotation/configuration/ClientDetailsServiceConfiguration.class]] bound.
2020-11-24 10:24:04.568 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext.refresh:559 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.support.BeanDefinitionOverrideException: Invalid bean definition with name 'clientDetailsService' defined in class path resource [spring/cloud/security/oauth/uaa/jwt/config/AuthorizationConfiguration.class]: Cannot register bean definition [Root bean: class [null]; scope=; abstract=false; lazyInit=null; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=authorizationConfiguration; factoryMethodName=clientDetailsService; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [spring/cloud/security/oauth/uaa/jwt/config/AuthorizationConfiguration.class]] for bean 'clientDetailsService': There is already [Root bean: class [org.springframework.aop.scope.ScopedProxyFactoryBean]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in BeanDefinition defined in class path resource [org/springframework/security/oauth2/config/annotation/configuration/ClientDetailsServiceConfiguration.class]] bound.
2020-11-24 10:25:31.971 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext.refresh:559 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'authorizationConfiguration': Unsatisfied dependency expressed through field 'tokenStore'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'tokenStore' defined in class path resource [spring/cloud/security/oauth/uaa/jwt/config/TokenConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.security.oauth2.provider.token.TokenStore]: Factory method 'tokenStore' threw exception; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'assessTokenConverter' defined in class path resource [spring/cloud/security/oauth/uaa/jwt/config/TokenConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.security.oauth2.provider.token.store.JwtAccessTokenConverter]: Factory method 'assessTokenConverter' threw exception; nested exception is java.lang.NoClassDefFoundError: org/springframework/security/jwt/crypto/sign/MacSigner
2020-11-24 10:27:10.349 [main] WARN  o.s.s.o.provider.token.store.JwtAccessTokenConverter.afterPropertiesSet:302 - Unable to create an RSA verifier from verifierKey (ignoreable if using MAC)
2020-11-24 10:27:11.176 [main] WARN  com.netflix.config.sources.URLConfigurationSource.<init>:121 - No URLs will be polled as dynamic configuration sources.
2020-11-24 10:27:11.181 [main] WARN  com.netflix.config.sources.URLConfigurationSource.<init>:121 - No URLs will be polled as dynamic configuration sources.
2020-11-24 10:27:12.757 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger.logWarning:86 - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-11-24 10:47:11.818 [SpringContextShutdownHook] WARN  com.netflix.discovery.DiscoveryClient.notify:1351 - Saw local status change event StatusChangeEvent [timestamp=1606186031818, current=DOWN, previous=UP]
2020-11-24 10:47:18.861 [main] WARN  o.s.s.o.provider.token.store.JwtAccessTokenConverter.afterPropertiesSet:302 - Unable to create an RSA verifier from verifierKey (ignoreable if using MAC)
2020-11-24 10:47:19.633 [main] WARN  com.netflix.config.sources.URLConfigurationSource.<init>:121 - No URLs will be polled as dynamic configuration sources.
2020-11-24 10:47:19.638 [main] WARN  com.netflix.config.sources.URLConfigurationSource.<init>:121 - No URLs will be polled as dynamic configuration sources.
